Date,SPY
2014-10-31,201.50750350952148
2014-11-03,201.86249923706055
2014-11-04,200.99000167846677
2014-11-05,202.22999572753906
2014-11-06,202.6099967956543
2014-11-07,203.18000030517578
2014-11-10,203.63249969482422
2014-11-11,204.04999542236328
2014-11-12,203.71500396728516
2014-11-13,204.09750366210938
2014-11-14,204.13750457763672
2014-11-17,204.11249923706055
2014-11-18,205.0875015258789
2014-11-19,205.09500122070312
2014-11-20,204.93249893188477
2014-11-21,207.03499603271484
2014-11-24,207.18249893188477
2014-11-25,207.30999755859375
2014-11-26,207.42999649047852
2014-11-28,207.36750030517578
2014-12-01,206.0199966430664
2014-12-02,206.50499725341797
2014-12-03,207.61000061035156
2014-12-04,207.54249954223633
2014-12-05,207.9724998474121
2014-12-08,207.0449981689453
2014-12-09,205.3375015258789
2014-12-10,204.49499893188474
2014-12-11,204.49250411987305
2014-12-12,202.0500030517578
2014-12-15,200.6999969482422
2014-12-16,199.1875
2014-12-17,200.21499633789062
2014-12-18,207.10250091552734
2014-12-19,206.4724998474121
2014-12-22,207.03750228881836
2014-12-23,207.8874969482422
2014-12-24,207.9625015258789
2014-12-26,208.4625015258789
2014-12-29,208.51250076293945
2014-12-30,207.92250061035156
2014-12-31,206.7775001525879
2015-01-02,205.71749877929688
2015-01-05,202.9025001525879
2015-01-06,200.87250137329102
2015-01-07,201.83250045776367
2015-01-08,205.01499938964844
2015-01-09,205.1449966430664
2015-01-12,203.39500045776367
2015-01-13,203.0474967956543
2015-01-14,200.04500198364258
2015-01-15,200.38500213623047
2015-01-16,200.1925048828125
2015-01-20,201.83749771118164
2015-01-21,202.29500198364258
2015-01-22,204.67000198364258
2015-01-23,205.41749954223633
2015-01-26,204.8925018310547
2015-01-27,202.8925018310547
2015-01-28,202.12749862670898
2015-01-29,200.8375015258789
2015-01-30,200.3300018310547
2015-02-02,200.4650001525879
2015-02-03,203.81000137329102
2015-02-04,204.21749877929688
2015-02-05,205.51250076293945
2015-02-06,206.06750106811523
2015-02-09,204.79500198364258
2015-02-10,206.12249755859375
2015-02-11,206.70499801635742
2015-02-12,208.19250106811523
2015-02-13,209.36249923706055
2015-02-17,209.73250198364258
2015-02-18,209.8375015258789
2015-02-19,209.76250076293945
2015-02-20,210.19499969482422
2015-02-23,210.96000289916992
2015-02-24,211.43499755859375
2015-02-25,211.68750381469727
2015-02-26,211.31500244140625
2015-02-27,211.0250015258789
2015-03-02,211.38750076293945
2015-03-03,211.18000030517578
2015-03-04,210.0449981689453
2015-03-05,210.43250274658203
2015-03-06,208.4900016784668
2015-03-09,208.11000061035156
2015-03-10,205.8574981689453
2015-03-11,204.9224967956543
2015-03-12,206.18499755859375
2015-03-13,206.2775001525879
2015-03-16,207.46000289916992
2015-03-17,207.76250076293945
2015-03-18,208.93500137329102
2015-03-19,209.7400016784668
2015-03-20,210.1575050354004
2015-03-23,210.38249969482422
2015-03-24,209.4525032043457
2015-03-25,207.47250366210938
2015-03-26,205.18000030517578
2015-03-27,205.43000030517578
2015-03-30,207.70000076293945
2015-03-31,207.0374984741211
2015-04-01,205.75499725341797
2015-04-02,206.1099967956543
2015-04-06,206.7150001525879
2015-04-07,207.78499984741214
2015-04-08,207.77999877929688
2015-04-09,208.2624969482422
2015-04-10,209.5724983215332
2015-04-13,209.65499877929688
2015-04-14,209.03750610351562
2015-04-15,210.36749649047852
2015-04-16,210.29249572753906
2015-04-17,208.28249740600586
2015-04-20,209.53000259399414
2015-04-21,210.09250259399414
2015-04-22,210.0974998474121
2015-04-23,210.81499862670898
2015-04-24,211.5974998474121
2015-04-27,211.52999877929688
2015-04-28,210.75250244140625
2015-04-29,210.45750045776367
2015-04-30,209.0775032043457
2015-05-01,210.04249954223633
2015-05-04,211.41750335693357
2015-05-05,210.02999877929688
2015-05-06,208.57249450683594
2015-05-07,208.42250061035156
2015-05-08,211.2849998474121
2015-05-11,211.14750289916992
2015-05-12,209.70999908447266
2015-05-13,210.3625030517578
2015-05-14,211.67000579833984
2015-05-15,212.3375015258789
2015-05-18,212.72500228881836
2015-05-19,213.13250350952148
2015-05-20,213.07749938964844
2015-05-21,213.11750030517578
2015-05-22,213.11999893188477
2015-05-26,211.55249786376953
2015-05-27,211.9224967956543
2015-05-28,212.25250244140625
2015-05-29,211.69250106811523
2015-06-01,211.61750030517578
2015-06-02,211.21000289916992
2015-06-03,211.97999954223633
2015-06-04,210.7025032043457
2015-06-05,209.81999969482422
2015-06-08,209.08250045776367
2015-06-09,208.42250061035156
2015-06-10,210.25749969482422
2015-06-11,211.5999984741211
2015-06-12,210.45249557495117
2015-06-15,208.74749755859375
2015-06-16,209.5625
2015-06-17,210.46500015258792
2015-06-18,212.01499938964844
2015-06-19,211.04500198364258
2015-06-22,212.00749969482422
2015-06-23,212.04750061035156
2015-06-24,211.2150001525879
2015-06-25,210.49500274658203
2015-06-26,209.9625015258789
2015-06-29,207.15750122070312
2015-06-30,206.4275016784668
2015-07-01,207.45499801635742
2015-07-02,207.61500167846677
2015-07-06,206.41749954223633
2015-07-07,206.81500244140625
2015-07-08,205.48999786376953
2015-07-09,206.01499938964844
2015-07-10,206.92499542236328
2015-07-13,209.4000015258789
2015-07-14,210.27499771118164
2015-07-15,210.66499710083008
2015-07-16,212.01250076293945
2015-07-17,212.27999877929688
2015-07-20,212.68249893188477
2015-07-21,212.07749938964844
2015-07-22,211.23999786376953
2015-07-23,210.77749633789062
2015-07-24,209.06750106811523
2015-07-27,206.8849983215332
2015-07-28,208.35499954223633
2015-07-29,210.1499977111816
2015-07-30,210.3550033569336
2015-07-31,210.88249969482422
2015-08-03,209.8574981689453
2015-08-04,209.53250122070312
2015-08-05,210.38999938964844
2015-08-06,209.17749786376953
2015-08-07,207.82999801635742
2015-08-10,209.95000076293945
2015-08-11,208.71749877929688
2015-08-12,207.63249969482422
2015-08-13,208.73749923706055
2015-08-14,208.9049949645996
2015-08-17,209.51250076293945
2015-08-18,210.1549949645996
2015-08-19,208.69250106811523
2015-08-20,205.66749572753906
2015-08-21,200.25500106811523
2015-08-24,189.21749877929688
2015-08-25,191.26749801635742
2015-08-26,192.42499923706055
2015-08-27,197.7300033569336
2015-08-28,198.8849983215332
2015-08-31,197.97999954223633
2015-09-01,192.59749984741208
2015-09-02,194.47750091552734
2015-09-03,196.2050018310547
2015-09-04,192.72750091552734
2015-09-08,196.5374984741211
2015-09-09,196.98250198364258
2015-09-10,195.47000122070312
2015-09-11,195.86750411987305
2015-09-14,196.34999465942383
2015-09-15,197.5050048828125
2015-09-16,199.4550018310547
2015-09-17,200.47999954223633
2015-09-18,196.20000076293945
2015-09-21,196.44750213623047
2015-09-22,193.7025032043457
2015-09-23,193.82250213623047
2015-09-24,192.26499557495117
2015-09-25,193.57500076293945
2015-09-28,189.83499908447266
2015-09-29,188.26499938964844
2015-09-30,190.81750106811523
2015-10-01,191.6300048828125
2015-10-02,192.22999954223633
2015-10-05,197.50000381469727
2015-10-06,198.0199966430664
2015-10-07,198.90499877929688
2015-10-08,200.07500076293945
2015-10-09,201.29750061035156
2015-10-12,201.4025001525879
2015-10-13,200.7775001525879
2015-10-14,199.81999588012695
2015-10-15,201.10750198364258
2015-10-16,202.82749938964844
2015-10-19,202.84249877929688
2015-10-20,203.0875015258789
2015-10-21,202.7249984741211
2015-10-22,203.89999771118164
2015-10-23,207.25249862670898
2015-10-26,207.05749893188477
2015-10-27,206.39749908447266
2015-10-28,207.7849998474121
2015-10-29,208.6650047302246
2015-10-30,208.54249954223633
2015-11-02,209.375
2015-11-03,210.58250045776367
2015-11-04,210.73250198364258
2015-11-05,210.16249465942383
2015-11-06,209.6400032043457
2015-11-09,208.45750045776367
2015-11-10,207.9650001525879
2015-11-11,208.30500411987305
2015-11-12,205.80500030517578
2015-11-13,203.5
2015-11-16,203.95249938964844
2015-11-17,205.84500122070312
2015-11-18,207.41499710083008
2015-11-19,208.5974998474121
2015-11-20,209.43499755859375
2015-11-23,209.2375030517578
2015-11-24,208.6150016784668
2015-11-25,209.3925018310547
2015-11-27,209.4124984741211
2015-11-30,209.2224998474121
2015-12-01,210.01250076293945
2015-12-02,209.59499740600586
2015-12-03,207.08499908447266
2015-12-04,207.70249938964844
2015-12-07,208.62749862670896
2015-12-08,206.87749862670898
2015-12-09,206.09749603271484
2015-12-10,205.96499633789062
2015-12-11,202.72000122070312
2015-12-14,201.99250030517578
2015-12-15,204.67749786376953
2015-12-16,206.89749908447266
2015-12-17,206.6449966430664
2015-12-18,201.38750076293945
2015-12-21,201.26250076293945
2015-12-22,202.90500259399414
2015-12-23,205.34000396728516
2015-12-24,205.7874984741211
2015-12-28,204.81750106811523
2015-12-29,207.04249572753906
2015-12-30,206.50249862670898
2015-12-31,204.68999862670898
2016-01-04,200.28250122070312
2016-01-05,201.17749786376956
2016-01-06,198.7050018310547
