,ARE,AMT,AVB,BXP,CPT,CBRE,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,PEAK,HST,INVH,IRM,KIM,MAA,PLD,PSA,O,REG,SBAC,SPG,UDR,VTR,VICI,WELL,WY
2000-03-01,30.4375,49.03125,33.84375,30.421875,26.578125,0.0,33.125,0.0,0.0,19.9609375,35.34375,0.0,19.125,11.220685243606567,8.611722946166992,0.0,8.313650846481323,11.364583253860474,22.46875,20.1875,21.921875,10.06086540222168,18.890625,42.8125,21.724348545074463,9.875,3.8540596961975098,0.0,15.40625,53.0625
2000-03-02,30.15625,48.390625,34.09375,30.375,26.40625,0.0,37.40625,0.0,0.0,19.90625,35.640625,0.0,19.03125,11.206454992294312,8.504650115966797,0.0,8.390669107437134,11.453125,22.515625,20.171875,21.765625,10.045724868774414,19.0,43.1875,21.564824104309082,9.796875,3.818373918533325,0.0,15.265625,52.59375
2000-03-03,30.0625,49.875,34.15625,30.40625,26.484375,0.0,40.703125,0.0,0.0,20.03125,35.75,0.0,19.125,11.242030620574951,8.4434654712677,0.0,8.514752864837646,11.447916507720947,22.5,20.125,21.8125,10.076005935668947,19.1875,43.875,21.753352642059326,9.90625,4.032488226890564,0.0,15.34375,53.53125
2000-03-06,30.078125,50.46875,34.15625,30.34375,26.578125,0.0,41.578125,0.0,0.0,19.9609375,35.875,0.0,19.046875,11.163763761520386,8.550538539886475,0.0,8.831382274627686,11.380208253860474,22.5625,20.078125,21.75,10.159278392791748,19.140625,43.53125,21.6953444480896,9.828125,3.9789596796035767,0.0,15.234375,53.109375
2000-03-07,29.84375,50.1875,34.28125,29.96875,26.390625,0.0,40.484375,0.0,0.0,20.0,36.0625,0.0,18.984375,11.149532794952393,8.596426725387573,0.0,8.9511878490448,11.364583492279053,22.3125,20.125,21.609375,10.076005935668945,19.15625,44.140625,21.55032205581665,9.703125,3.9968029856681824,0.0,14.96875,51.359375
2000-03-08,29.84375,52.265625,34.265625,29.875,26.40625,0.0,39.78125,0.0,0.0,19.796875,35.9375,0.0,18.9375,11.156648397445679,8.550538301467896,0.0,8.750085592269897,11.395833492279053,22.34375,20.203125,21.390625,10.038154602050781,19.28125,47.4375,21.53581953048706,9.6875,3.925431489944458,0.0,15.03125,51.515625
2000-03-09,30.203125,52.453125,34.140625,30.375,26.625,0.0,40.34375,0.0,0.0,19.71875,36.015625,0.0,18.890625,11.18510913848877,8.672907590866089,0.0,8.74580693244934,11.401041746139526,22.265625,20.25,21.171875,10.023014068603516,19.59375,48.5,21.289281845092773,9.78125,3.7470027208328247,0.0,14.96875,51.375
2000-03-10,30.125,54.203125,34.1875,30.359375,26.625,0.0,41.328125,0.0,0.0,19.6484375,36.015625,0.0,18.796875,11.18510913848877,8.810572385787964,0.0,8.638837575912476,11.510416746139526,22.1875,20.171875,21.015625,10.045724868774414,19.703125,49.21875,21.303783416748047,9.8125,3.693473696708679,0.0,15.046875,53.625
2000-03-13,30.171875,53.40625,34.34375,29.953125,26.546875,0.0,41.15625,0.0,0.0,19.5546875,35.921875,0.0,18.765625,11.142417907714844,8.764684200286865,0.0,8.720134019851685,11.427083492279053,22.140625,20.15625,21.046875,9.962451934814453,19.40625,51.75,21.303783416748047,9.71875,3.747002482414245,0.0,15.296875,54.03125
2000-03-14,30.484375,51.53125,34.125,30.1875,26.546875,0.0,41.375,0.0,0.0,19.609375,35.9375,0.0,18.84375,11.156648397445679,8.703499794006348,0.0,8.90839958190918,11.453124761581423,22.296875,20.296875,21.125,9.917030334472656,19.171875,53.4375,21.115254878997803,9.609375,3.6756309270858765,0.0,15.078125,53.234375
2000-03-15,30.71875,46.75,34.15625,30.484375,26.5625,0.0,40.21875,0.0,0.0,19.625,35.8125,0.0,18.8125,11.227800846099854,8.688203573226929,0.0,8.916957378387451,11.656250238418577,22.328125,20.578125,21.140625,9.795906066894531,18.984375,50.546875,21.158761501312256,9.71875,3.354459226131439,0.0,14.828125,53.59375
2000-03-16,30.859375,44.5625,34.546875,30.71875,26.90625,0.0,40.09375,0.0,0.0,19.515625,35.828125,0.0,18.9375,11.47683310508728,8.841164827346802,0.0,9.032484769821167,12.0,22.5,20.84375,21.28125,9.939741134643555,19.28125,46.84375,21.33278799057007,9.84375,3.372302293777466,0.0,14.9375,56.609375
2000-03-17,30.78125,48.40625,34.828125,30.875,27.015625,0.0,40.484375,0.0,0.0,19.71875,35.96875,0.0,19.109375,11.633367538452148,8.856460809707642,0.0,8.92979383468628,12.052083015441896,22.5,20.953125,21.53125,10.144137859344482,19.453125,47.765625,21.405299186706543,9.859375,3.390145003795624,0.0,15.0,57.125
2000-03-20,30.75,50.28125,34.953125,31.109375,27.265625,0.0,40.984375,0.0,0.0,19.7578125,35.84375,0.0,19.1875,11.690289497375488,8.810572862625122,0.0,8.728691577911377,12.130208492279053,22.421875,21.015625,21.46875,10.21984052658081,19.421875,49.984375,21.347290515899658,9.84375,3.336616277694702,0.0,15.21875,56.890625
2000-03-21,30.78125,47.546875,35.15625,31.296875,27.15625,0.0,40.0,0.0,0.0,19.8125,35.8125,0.0,19.390625,11.704519987106323,8.734091758728027,0.0,8.788594484329224,12.244791746139526,22.375,20.953125,21.609375,10.106287002563477,19.65625,48.1875,21.492313385009766,9.828125,3.693474054336548,0.0,15.5,56.609375
2000-03-22,30.96875,50.5625,35.203125,31.25,27.21875,0.0,41.109375,0.0,0.0,20.015625,35.921875,0.0,18.921875,11.633367776870728,8.703499555587769,0.0,9.152289867401123,12.255208253860474,22.328125,21.203125,21.671875,10.06086540222168,20.078125,47.859375,21.72434902191162,9.828125,4.228759765625,0.0,15.640625,55.15625
2000-03-23,31.328125,52.390625,35.5625,31.28125,27.40625,0.0,42.578125,0.0,0.0,20.0234375,35.890625,0.0,18.796875,11.547985076904297,8.734091758728027,0.0,9.250701665878296,12.218749761581423,22.40625,21.40625,21.65625,10.053295135498047,19.90625,48.875,21.593828678131104,9.796875,3.996802568435669,0.0,15.609375,55.28125
2000-03-24,31.609375,52.625,35.78125,31.265625,27.296875,0.0,41.8125,0.0,0.0,20.09375,35.625,0.0,18.671875,11.576446294784546,8.718796014785767,0.0,9.259259462356567,12.286458015441896,22.5,21.421875,21.8125,10.06086540222168,19.6875,47.21484375,21.70984649658203,9.8125,3.782688558101654,0.0,15.140625,55.109375
2000-03-27,31.8125,50.96875,35.703125,31.328125,27.203125,0.0,40.859375,0.0,0.0,19.984375,35.75,0.0,18.765625,11.612021923065186,8.581130743026733,0.0,9.182241439819336,12.265625,22.453125,21.328125,21.65625,10.053295135498047,19.59375,47.3125,21.65183734893799,9.84375,3.6934737563133235,0.0,15.0,55.671875
2000-03-28,31.5,50.609375,35.96875,31.359375,27.03125,0.0,38.921875,0.0,0.0,19.9609375,35.640625,0.0,18.84375,11.647598266601562,8.519946336746216,0.0,9.195077896118164,12.197916507720947,22.46875,21.21875,21.609375,10.098716735839844,19.59375,49.34375,21.448806285858154,9.859375,3.6399452090263367,0.0,15.0,55.375
2000-03-29,31.171875,50.65625,36.25,31.140625,26.640625,0.0,38.640625,0.0,0.0,20.078125,35.4375,0.0,18.96875,11.547984838485718,8.474057674407959,0.0,9.237865686416626,12.322916507720947,22.5,21.140625,21.6875,10.068435668945312,19.515625,47.25,21.55032205581665,9.875,3.6577882766723633,0.0,15.0,55.984375
2000-03-30,30.84375,49.5,36.09375,31.46875,26.71875,0.0,36.90625,0.0,0.0,20.1484375,35.953125,0.0,19.0625,11.498178958892822,8.565834283828735,0.0,9.297768115997314,12.385416746139526,22.71875,21.203125,21.796875,9.932170867919922,19.328125,41.671875,21.60832977294922,9.921875,3.6399452090263367,0.0,14.8125,58.359375
2000-03-31,30.1875,49.796875,36.5625,31.640625,26.9375,0.0,37.296875,0.0,0.0,20.125,36.078125,0.0,19.171875,11.512408971786499,8.688203573226929,0.0,9.306325435638428,12.427083492279053,22.6875,21.265625,21.328125,9.62936019897461,19.59375,42.25,21.840365886688232,10.015625,3.7648454308509827,0.0,14.375,58.34375
2000-04-03,30.203125,46.890625,36.46875,31.75,27.078125,0.0,35.84375,0.0,0.0,20.2265625,36.296875,0.0,19.1875,11.505293846130371,8.795276165008545,0.0,9.297768354415894,12.34375,22.59375,21.15625,21.484375,9.538516998291016,19.546875,43.03125,21.912877559661865,10.015625,3.7648451924324036,0.0,14.171875,57.953125
2000-04-04,30.40625,44.234375,36.328125,32.0,27.15625,0.0,33.390625,0.0,0.0,20.4296875,36.484375,0.0,19.1875,11.391450643539429,8.779980182647705,0.0,9.182241678237915,12.229166507720947,22.515625,21.390625,21.703125,9.621789932250977,19.671875,38.546875,21.767855167388916,10.0,3.8540594577789307,0.0,13.984375,57.328125
2000-04-05,30.25,45.046875,36.578125,32.234375,27.40625,0.0,34.4375,0.0,0.0,20.5859375,36.625,0.0,19.53125,11.3843355178833,8.749387979507446,0.0,9.156569004058838,12.421875,22.65625,21.40625,21.859375,9.720203399658203,19.875,38.65625,21.811362266540527,10.0625,3.8897457122802734,0.0,14.125,56.890625
