,ADM,MO,BF.B,BG,CPB,CHD,CLX,KO,CL,CAG,STZ,COST,DG,DLTR,EL,GIS,HSY,HRL,K,KDP,KMB,KHC,KR,LW,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SJM,SYY,TGT,TSN,WBA,WMT
2006-08-03,42.007500648498535,79.80500030517578,0.0,54.10249996185303,36.81750011444092,9.259999752044678,59.27999973297119,22.057499885559082,29.31375026702881,16.821011543273926,24.84749984741211,51.30250072479248,0.0,9.227500200271606,18.581250190734863,25.983749866485596,53.18249988555908,9.384374856948853,48.28250026702881,0.0,58.24304962158203,0.0,11.336250066757202,0.0,17.482500076293945,33.52874946594238,32.535000801086426,7.067916393280029,63.06750011444092,0.0,58.93249988555908,44.172499656677246,27.332499504089355,45.90250015258789,13.71250033378601,48.0,44.57499980926514
2006-08-04,41.70500087738037,80.28250122070312,0.0,54.41250038146973,36.82249927520752,9.34249997138977,59.27750015258789,21.99874973297119,29.16874933242798,16.92996120452881,24.825000286102295,51.767499923706055,0.0,9.647500276565552,18.801249504089355,26.107500076293945,53.10000038146973,9.392500162124634,48.10249996185303,0.0,58.45637607574463,0.0,11.453749895095825,0.0,17.610000610351562,33.234999656677246,32.53999900817871,6.974166512489319,62.97249889373779,0.0,59.47249984741211,44.22749996185303,27.014999866485596,46.98750114440918,13.634999990463257,48.58500003814697,45.03000068664551
2006-08-07,40.69000053405762,79.39999961853027,0.0,54.382500648498535,36.50500011444092,9.357500076293945,58.94999980926514,21.862499713897705,29.40625,17.00194549560547,24.96750020980835,51.55000019073486,0.0,9.540833234786987,18.788750171661377,26.09000015258789,52.642499923706055,9.286249876022339,48.03249931335449,0.0,58.523488998413086,0.0,11.398749828338623,0.0,17.57499933242798,33.22375011444092,32.60249996185303,5.257499575614929,63.0600004196167,0.0,59.21250057220459,43.7524995803833,27.460000038146973,46.795000076293945,13.315000057220459,48.38000011444092,44.742499351501465
2006-08-08,41.54999923706055,79.88000106811523,0.0,54.6850004196167,36.86499881744385,9.344375133514404,58.97500038146973,21.915000438690186,29.505000114440918,17.132295608520508,25.09749984741211,51.75999927520752,0.0,9.490000009536743,18.84124994277954,26.312500476837158,52.46500015258789,9.31124997138977,48.22249984741211,0.0,58.902204513549805,0.0,11.428749799728394,0.0,17.71250009536743,33.42500114440918,32.927499771118164,4.908166408538818,63.562500953674316,0.0,59.6875,43.4399995803833,27.8125,46.35249900817871,13.254999876022339,48.822500228881836,44.65999984741211
2006-08-09,41.739999771118164,80.26750183105469,0.0,54.070000648498535,37.55500030517578,9.396249771118164,59.265000343322754,21.93874979019165,29.568750381469727,17.215952396392822,25.047500133514404,51.21250057220459,0.0,9.430000066757202,19.005000114440918,26.598750591278076,52.67500019073486,9.402499914169312,48.4350004196167,0.0,58.791945457458496,0.0,11.327499866485596,0.0,17.825000286102295,33.601250648498535,33.234999656677246,4.914274454116821,63.25749969482422,0.0,59.68000030517578,43.42500114440918,27.820000171661377,45.85749912261963,13.192500114440918,48.47999954223633,44.355000495910645
2006-08-10,41.02750015258789,80.44499969482422,0.0,53.36249923706055,37.58250045776367,9.413125038146973,59.19749927520752,21.945000171661377,29.75250005722046,17.260700225830078,25.02750015258789,50.5674991607666,0.0,9.450833320617676,19.267500400543213,26.577499866485596,52.69999980926514,9.378124952316284,48.51249980926514,0.0,58.9573335647583,0.0,11.368749856948853,0.0,17.87249994277954,33.546250343322754,33.577500343322754,4.712916374206543,63.07500076293945,0.0,59.93249988555908,43.34000015258789,27.93000030517578,46.66250038146973,13.232500076293945,48.23500061035156,44.36999988555908
2006-08-11,40.78750038146973,80.67499923706055,0.0,53.55500030517578,37.802499771118164,9.37624979019165,58.69499969482422,21.87125015258789,29.732499599456787,17.342411994934082,25.197500228881836,50.83500003814697,0.0,9.541666507720947,18.87000036239624,26.578750133514404,52.529998779296875,9.413750171661377,48.8725004196167,0.0,58.91179180145264,0.0,11.396250009536743,0.0,17.882500171661377,33.65499973297119,33.687500953674316,4.8295828104019165,63.187500953674316,0.0,60.1225004196167,43.579999923706055,27.997499465942383,48.0625,13.394999980926514,48.329999923706055,44.707499504089355
2006-08-14,40.58500003814697,80.9375,0.0,53.82749938964844,38.05749988555908,9.372499942779541,58.6875,22.001250743865967,29.93375015258789,17.550583839416504,25.295000076293945,51.587501525878906,0.0,9.652499914169312,18.473750114440918,26.653749465942383,53.09749984741211,9.454999685287476,49.427499771118164,0.0,58.7703742980957,0.0,11.56124997138977,0.0,17.860000610351562,34.204999923706055,33.96250057220459,4.964582920074463,63.6274995803833,0.0,60.10499954223633,43.582499504089355,28.105000019073486,48.375,13.517499685287476,48.777499198913574,45.02499961853027
2006-08-15,40.822500228881836,81.02249908447266,0.0,53.864999771118164,38.18000030517578,9.483124732971191,59.60249900817871,22.12750005722046,30.09499979019165,17.71400785446167,25.455000400543213,51.96750068664551,0.0,9.779999732971191,18.552500247955322,26.750000476837158,52.87249946594238,9.520000219345093,49.80250072479248,0.0,58.76557922363281,0.0,11.62624979019165,0.0,17.866249561309814,34.54375076293945,33.677499771118164,4.933333039283752,63.75,0.0,60.35249900817871,43.90499973297119,28.269999504089355,48.64500045776367,13.552500009536743,49.41499900817871,44.5674991607666
2006-08-16,40.69000053405762,80.79749870300293,0.0,54.630001068115234,38.15499973297119,9.504375219345093,60.36249923706055,22.173749923706055,29.916250228881836,17.708171844482422,25.57499933242798,51.785000801086426,0.0,9.797500133514404,18.043750286102295,26.81375026702881,52.41499996185303,9.498124837875366,49.84249973297119,0.0,58.899807929992676,0.0,11.579999923706055,0.0,17.857500076293945,34.75125026702881,33.359999656677246,4.935832977294922,63.36250114440918,0.0,60.39750003814697,44.427499771118164,29.00250005722046,48.93000030517578,13.664999961853027,49.46000003814697,44.427499771118164
2006-08-17,40.14999961853027,80.70999908447266,0.0,54.78999996185303,37.82749938964844,9.414375066757202,60.822500228881836,22.076250076293945,29.65625,17.6264591217041,25.522500038146973,51.96249961853027,0.0,9.850833654403687,18.0962495803833,26.68250036239624,52.71249961853027,9.42562484741211,49.6274995803833,0.0,58.88542652130127,0.0,11.821249961853027,0.0,17.78249979019165,34.82625102996826,33.052499771118164,4.987916469573975,62.892499923706055,0.0,60.3149995803833,44.65750026702881,29.672499656677246,49.6825008392334,14.0625,49.53499984741211,44.61500072479248
2006-08-18,40.46250057220459,83.70499992370605,0.0,54.52250003814697,37.875,9.372499704360962,60.72999954223633,22.031249523162842,29.52750015258789,17.678988933563232,25.454999923706055,52.172499656677246,0.0,9.789166450500488,17.796249866485596,26.571250438690186,53.760000228881836,9.413125038146973,49.557498931884766,0.0,58.9573335647583,0.0,11.765000104904175,0.0,17.75374984741211,34.86250019073486,32.71750068664551,4.993749737739563,62.75999927520752,0.0,60.23499870300293,44.329999923706055,29.90499973297119,49.9424991607666,14.212500095367432,49.160000801086426,44.562500953674316
2006-08-21,41.44250011444092,83.79500198364258,0.0,55.010000228881836,37.96000099182129,9.34375,60.09000110626221,22.144999980926514,29.643749713897705,17.778210163116455,25.334999561309814,51.90250015258789,0.0,9.616666555404663,17.708749771118164,26.600000381469727,53.927499771118164,9.470625162124634,49.59499931335449,0.0,59.427133560180664,0.0,11.666250228881836,0.0,17.896250247955322,34.616249084472656,32.78999996185303,4.974583029747009,63.21249961853027,0.0,60.57249927520752,45.312500953674316,29.96749973297119,49.27000045776367,14.47249984741211,48.6924991607666,44.197500228881836
2006-08-22,41.5674991607666,83.76499938964844,0.0,54.34499931335449,38.03250026702881,9.353124856948853,59.70750045776367,22.166249752044678,29.571250438690186,17.749028205871582,25.40000009536743,51.52250003814697,0.0,9.52750039100647,17.579999923706055,26.547500133514404,53.73750019073486,9.474999904632568,49.6274995803833,0.0,59.16586685180664,0.0,11.602499961853027,0.0,17.988750457763672,34.70875072479248,32.89999961853027,5.010412216186523,63.502501487731934,0.0,60.91499996185303,45.69499969482422,30.24749994277954,48.875,14.5,48.77750015258789,44.15499973297119
2006-08-23,41.57499980926514,83.67999839782715,0.0,53.45249938964844,37.02999973297119,9.361875295639038,59.77999973297119,22.15250015258789,29.539999961853027,17.821011543273926,25.59999990463257,51.17499923706055,0.0,9.334166765213013,17.585000038146973,26.647500038146973,53.47500038146973,9.508125066757202,49.6225004196167,0.0,59.010066986083984,0.0,11.466249942779541,0.0,17.942500591278076,34.62874984741211,32.875,5.104999542236328,63.74250030517578,0.0,61.0,46.97749996185303,30.364999294281006,48.24749946594238,14.47000002861023,48.454999923706055,43.87249946594238
