,APD,ALB,AMCR,AVY,BALL,CE,CF,CTVA,DOW,DD,EMN,ECL,FMC,FCX,IFF,IP,LIN,LYB,MLM,MOS,NEM,NUE,PKG,PPG,SEE,SHW,STLD,VMC,WRK
2000-04-06,27.448543548583984,9.8984375,0.0,58.09375,2.26953125,0.0,0.0,0.0,0.0,55.45562934875488,23.546875,18.90625,12.555561542510986,6.1328125,34.71875,38.21674060821533,20.8125,0.0,45.5,14.171875,23.171875,12.30859375,10.578125,26.5078125,26.90625,8.046875,2.87109375,46.53125,0.0
2000-04-07,27.145004272460938,10.0625,0.0,57.296875,2.2832034826278687,0.0,0.0,0.0,0.0,55.381500244140625,23.34375,18.7890625,12.575888872146606,5.6796875,34.84375,37.545504570007324,20.6875,0.0,45.40625,14.078125,23.125,11.9921875,10.46875,26.25,27.703125,7.895833492279053,2.91796875,45.78125,0.0
2000-04-10,27.275092124938965,10.0234375,0.0,59.203125,2.25,0.0,0.0,0.0,0.0,54.899664878845215,23.296875,18.859375,12.379390716552734,5.6484375,35.078125,39.092267990112305,20.8125,0.0,46.015625,14.03125,23.28125,11.9140625,10.453125,25.8515625,29.03125,8.046875,2.9716797471046448,45.4375,0.0
2000-04-11,28.012256622314453,9.984375,0.0,61.734375,2.2753907442092896,0.0,0.0,0.0,0.0,55.09981346130371,23.890625,19.0546875,12.59960412979126,5.5234375,36.359375,40.65362358093262,21.4375,0.0,46.9375,13.59375,23.375,12.3359375,10.421875,26.71875,29.1875,8.333333253860474,2.91796875,45.59375,0.0
2000-04-12,29.342044353485107,10.03125,0.0,65.046875,2.299804985523224,0.0,0.0,0.0,0.0,56.75288105010986,24.3671875,19.234375,12.968885898590088,5.4921875,36.703125,41.28108596801758,22.0625,0.0,48.453125,14.1875,22.84375,12.51953125,10.734375,27.921875,29.2578125,8.739583015441895,3.1015625,46.40625,0.0
2000-04-13,28.547062873840332,9.8984375,0.0,66.734375,2.2978515028953552,0.0,0.0,0.0,0.0,55.74473190307617,24.3359375,19.078125,12.890963554382324,5.640625,36.796875,40.53688716888428,21.8125,0.0,48.546875,14.40625,21.921875,12.5546875,10.6875,28.53125,28.65625,8.838541746139526,3.1455077528953552,47.109375,0.0
2000-04-14,27.33290958404541,9.9921875,0.0,63.875,2.2666017413139343,0.0,0.0,0.0,0.0,52.297749519348145,23.46875,18.40625,12.542010068893433,5.5703125,35.625,38.012451171875,20.484375,0.0,47.53125,14.046875,22.390625,12.14453125,10.3125,27.3359375,27.703125,8.552083253860474,3.08984375,46.171875,0.0
2000-04-17,27.26063823699951,9.8046875,0.0,61.4375,2.1669922471046448,0.0,0.0,0.0,0.0,51.05239009857178,22.9375,18.1953125,12.331960201263428,5.34375,35.59375,37.45795154571533,19.9296875,0.0,47.234375,13.9375,22.953125,11.5859375,10.1875,26.515625,26.921875,8.567708492279053,3.11328125,46.078125,0.0
2000-04-18,27.17391300201416,9.5859375,0.0,61.71875,2.0917967557907104,0.0,0.0,0.0,0.0,49.51051425933838,22.7421875,17.9296875,12.586052656173706,5.0546875,35.46875,37.516319274902344,19.375,0.0,48.71875,14.21875,23.28125,11.5625,10.515625,26.046875,26.9453125,8.562500238418579,3.01953125,43.578125,0.0
2000-04-19,26.509019374847412,9.6484375,0.0,61.171875,2.1123047471046448,0.0,0.0,0.0,0.0,49.399319648742676,22.2734375,17.75,12.67074990272522,5.0546875,34.640625,36.90345096588135,19.28125,0.0,52.0625,13.953125,23.625,11.546875,10.796875,25.546875,26.9375,8.46875,2.9921875,42.96875,0.0
