,APA,BKR,CVX,COP,CTRA,DVN,FANG,EOG,EQT,XOM,HAL,HES,KMI,MRO,MPC,OXY,OKE,PSX,PXD,SLB,TRGP,VLO,WMB
2017-09-18,42.33250045776367,37.135000228881836,114.78750038146973,46.672499656677246,26.710000038146973,33.64250087738037,94.32499885559082,92.89499855041502,35.251769065856934,79.92999839782715,42.510000228881836,42.28250026702881,19.37750005722046,11.980000019073486,53.32500076293945,61.52999973297119,56.17499923706055,87.9424991607666,136.3849983215332,67.48750114440918,47.04999923706055,71.75250053405762,30.40500020980835
2017-09-19,42.00749969482422,37.30250072479248,115.79999923706055,47.38249969482422,26.322499752044678,33.83500003814697,94.86499977111816,93.13999938964844,34.930593490600586,80.16499900817871,42.732500076293945,42.53750038146973,19.490000247955322,12.03250002861023,53.917500495910645,61.85000038146973,55.95500087738037,88.6974983215332,136.9800033569336,67.90500068664551,47.45250129699707,72.4174976348877,30.59499979019165
2017-09-20,42.447500228881836,37.49250030517578,116.55500030517578,48.197500228881836,26.265000343322754,34.457499504089355,96.0099983215332,93.71500015258789,35.152421951293945,80.43750190734863,43.28750038146973,43.232500076293945,19.695000171661377,12.252500057220459,54.385000228881836,62.36250019073486,56.11000061035156,89.09499931335449,139.42499923706055,67.84750175476074,47.90250015258789,73.02499961853027,30.494999885559082
2017-09-21,43.11000061035156,36.84499931335449,116.26000022888184,48.38749885559082,26.247499465942383,35.10499954223633,97.0525016784668,93.78250122070312,34.8298864364624,80.16749954223633,43.447500228881836,43.47249984741211,19.512499809265137,12.5625,54.48749923706055,62.58000087738037,55.385000228881836,89.13750076293945,141.41749954223633,67.78249931335449,47.38249969482422,73.28999900817871,30.132500171661377
2017-09-22,43.367499351501465,36.554999351501465,116.95000076293945,49.01500129699707,26.447500228881836,35.49250030517578,96.09749984741211,94.10499954223633,34.85710334777832,79.90250015258789,43.88000011444092,44.00749969482422,19.260000705718994,12.757499933242798,54.53000068664551,62.922499656677246,54.750000953674316,89.5374984741211,142.62749862670898,68.30000305175781,46.83749866485596,73.76250076293945,29.96500015258789
2017-09-25,44.56500053405762,37.27499961853027,117.64249992370605,49.742499351501465,26.749999523162842,36.41249942779541,96.69750022888184,95.70750045776367,35.15786552429199,80.49750137329102,44.677499771118164,45.499999046325684,19.52250051498413,13.06499981880188,55.329999923706055,64.03999996185303,55.407501220703125,90.58250045776367,145.78750228881836,69.46000099182129,47.88999938964844,74.84000015258789,30.380000114440918
2017-09-26,45.374999046325684,37.09500026702881,117.64749908447266,49.66249942779541,26.86750030517578,36.667500495910645,96.85250091552734,96.45750045776367,35.474958419799805,80.78999900817871,44.5625,46.03249931335449,19.562500476837158,13.227499961853027,55.36500072479248,64.36000061035156,55.18249988555908,91.27250099182129,146.6425018310547,69.04749870300293,47.95249938964844,75.1349983215332,30.397499561309814
2017-09-27,46.054999351501465,36.97999954223633,117.31999778747559,49.92250061035156,26.860000133514404,36.992499351501465,96.81499862670898,97.00250053405762,35.45318412780762,81.13999938964844,45.14500141143799,46.52250003814697,19.410000324249268,13.579999923706055,55.0600004196167,64.78999900817871,55.320000648498535,91.46250152587889,148.5900001525879,68.87500190734863,47.93000030517578,75.16250038146973,30.137499809265137
2017-09-28,46.1274995803833,36.98750019073486,117.48499870300293,50.27250099182129,26.762500286102295,36.93249988555908,97.23749923706055,97.36249923706056,35.40827465057373,81.95749855041504,45.790000915527344,46.86999988555908,19.267499923706055,13.652499914169312,55.41499996185303,65.17499923706055,55.22499942779541,91.81250190734863,148.63999938964844,69.17500305175781,47.769999504089355,76.2549991607666,29.91249990463257
2017-09-29,45.572500228881836,36.69749927520752,117.22999954223633,49.88499927520752,26.65250015258789,36.519999504089355,97.3799991607666,96.74250030517578,35.38922119140625,81.89000129699707,45.827500343322754,46.63000011444092,19.230000495910645,13.472500085830688,55.84500026702881,64.44499969482422,55.33750057220459,91.67500114440918,146.94249725341797,69.20499992370605,47.295000076293945,77.02000045776367,29.947500228881836
