,AES,LNT,AEE,AEP,AWK,ATO,CNP,CMS,ED,CEG,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE,NEE,NI,NRG,PCG,PNW,PPL,PEG,SRE,SO,WEC,XEL
2000-02-17,44.109375,15.4921875,30.703125,30.5625,0.0,17.84375,18.1771879196167,18.4375,30.0,0.0,20.375,27.885637760162354,44.97169208526611,28.1875,22.234375,15.765625,19.09375,14.41578984260559,21.296875,5.117187738418579,6.741158962249756,0.0,22.4375,29.765625,10.187187671661377,15.9921875,18.875,14.461148738861084,9.421875,18.5625
2000-02-18,44.046875,15.2578125,30.203125,30.015625,0.0,17.46875,17.768859386444092,18.265625,28.65625,0.0,20.34375,27.48670244216919,45.148746490478516,27.640625,21.796875,15.75,18.96875,14.209611415863037,20.671875,5.074218988418579,6.685903549194336,0.0,22.671875,29.046875,9.903401613235474,15.4765625,18.76171875,14.1938796043396,9.34375,18.3125
2000-02-22,43.296875,15.015625,30.421875,30.234375,0.0,16.796875,18.032297134399414,18.21875,28.046875,0.0,20.296875,27.31382942199707,44.563106536865234,27.21875,21.703125,15.96875,18.703125,14.21518397331238,20.21875,5.0957032442092896,6.630648255348206,0.0,22.296875,29.0625,9.845189332962036,15.328125,18.609375,14.155698299407959,9.34375,18.359375
2000-02-23,42.1484375,14.8046875,30.1875,30.09375,0.0,16.5,17.88740587234497,17.984375,27.71875,0.0,19.859375,26.555851459503174,43.45992374420166,27.046875,21.4375,15.875,18.59375,14.276479959487915,20.109375,5.000000238418579,6.520137548446655,0.0,22.03125,28.4375,9.677828550338745,15.0546875,18.453125,14.002973556518555,9.2421875,18.15625
2000-02-24,42.328125,14.6171875,29.46875,29.21875,0.0,16.203125,17.531765937805176,17.3125,27.03125,0.0,19.3671875,25.984042167663574,42.52017688751221,25.640625,20.71875,15.71875,18.40625,13.94213604927063,19.796875,4.8378907442092896,6.360511064529419,0.0,21.265625,27.671875,9.4595308303833,14.65625,18.3125,13.687978029251099,9.0,17.921875
2000-02-25,42.140625,14.3828125,28.859375,28.484375,0.0,15.9375,17.307844161987305,16.65625,26.59375,0.0,18.9375,25.27925443649292,41.70300483703613,25.609375,20.484375,15.546875,18.234375,13.702523231506348,19.15625,4.6660157442092896,6.188605070114136,0.0,20.359375,26.640625,9.350382804870605,14.375,18.453125,13.439800024032593,8.7578125,17.671875
2000-02-28,42.609375,14.1875,29.546875,28.59375,0.0,16.078125,17.307844161987305,16.484375,27.109375,0.0,18.3671875,25.199467658996582,41.82558059692383,26.171875,20.328125,15.6875,18.53125,13.891984939575195,19.109375,4.683593988418579,5.384331941604614,0.0,20.4375,27.109375,9.314000368118288,14.3671875,18.3125,13.582979917526245,8.78125,17.875
2000-02-29,42.421875,14.1171875,29.921875,28.421875,0.0,16.5625,17.45273494720459,16.71875,27.484375,0.0,18.4453125,25.47872304916382,42.23416614532471,26.15625,20.4765625,15.65625,18.71875,13.618937015533447,18.859375,4.789062738418579,5.224705219268799,0.0,20.546875,27.546875,9.386765956878662,14.4921875,17.96875,13.649797439575195,8.8515625,17.703125
2000-03-01,41.375,13.9921875,29.5625,27.84375,0.0,16.859375,17.307843685150146,16.84375,27.390625,0.0,18.03125,25.305851459503174,42.20692729949951,25.796875,20.328125,15.53125,18.984375,13.579930305480957,19.34375,4.826172232627869,5.083497047424316,0.0,20.21875,27.546875,9.350382804870605,14.359375,17.890625,13.363437414169312,8.7734375,17.390625
2000-03-02,42.4296875,13.8828125,28.859375,27.625,0.0,16.5625,17.22881317138672,16.984375,27.171875,0.0,18.203125,25.119680881500244,41.893677711486816,25.53125,20.421875,15.96875,19.28125,13.67466115951538,19.046875,4.826172232627869,5.114194393157959,0.0,20.65625,27.484375,9.408595323562622,14.3515625,17.65625,13.439799785614014,8.8828125,17.09375
2000-03-03,43.6484375,13.75,29.125,27.4375,0.0,16.015625,17.650312900543213,17.0,27.5,0.0,18.46875,25.0,42.6427526473999,25.71875,20.4375,16.53125,19.34375,14.087018728256226,19.109375,4.8886719942092896,5.181729078292847,0.0,21.375,27.453125,9.517743587493896,14.453125,17.625,13.563889265060425,8.890625,17.328125
2000-03-06,40.671875,13.6640625,28.546875,26.6875,0.0,15.828125,17.334187507629395,17.515625,27.34375,0.0,18.1796875,25.83776569366455,42.656371116638184,18.359375,17.875,16.234375,19.375,13.964426040649414,18.8125,4.816406488418579,5.37819242477417,0.0,21.390625,26.625,9.27034044265747,13.890625,17.4375,13.124804973602295,8.6875,16.859375
2000-03-07,40.546875,13.6953125,27.90625,27.046875,0.0,15.703125,16.899516105651855,17.296875,27.625,0.0,18.265625,25.319148540496826,42.452077865600586,17.15625,17.515625,16.34375,19.34375,13.67466139793396,18.328125,4.833984732627869,5.316797971725464,0.0,20.75,26.3125,9.037490367889404,13.6171875,17.265625,12.972079753875732,8.5703125,16.546875
2000-03-08,39.375,14.0625,28.015625,26.765625,0.0,15.53125,17.11026620864868,17.21875,27.578125,0.0,18.1796875,25.14627695083618,41.8800573348999,16.1875,17.21875,16.84375,19.546875,13.635653972625732,18.140625,5.029297232627869,5.5132609605789185,0.0,20.46875,26.65625,8.72459864616394,13.3359375,17.0625,12.92435336112976,8.5390625,16.515625
2000-03-09,38.7265625,14.2265625,28.015625,26.703125,0.0,15.96875,17.544937133789062,17.109375,27.515625,0.0,18.3828125,25.518616676330566,41.32165718078613,15.984375,17.546875,17.015625,19.484375,13.5966477394104,18.296875,5.259765982627869,5.593074440956116,0.0,20.59375,26.671875,8.855576992034912,13.1953125,17.09375,12.83844518661499,8.53125,16.375
2000-03-10,36.5625,14.1484375,28.1875,26.375,0.0,15.734375,17.72934341430664,17.171875,27.46875,0.0,18.21875,26.130319595336914,40.58620262145996,15.5,17.96875,17.1875,19.640625,13.607792377471924,18.375,5.4277344942092896,5.722004055976868,0.0,20.90625,26.640625,8.891959428787231,13.1328125,17.4375,12.87662649154663,8.578125,16.484375
2000-03-13,36.1328125,13.9921875,28.125,26.90625,0.0,16.328125,18.164015769958496,17.25,27.46875,0.0,17.9375,25.86436176300049,40.368289947509766,15.921875,18.15625,17.0625,19.609375,13.574358224868774,18.1875,5.3378907442092896,5.758841037750244,0.0,20.734375,25.984375,8.75370478630066,12.9921875,17.296875,12.905262231826782,8.578125,16.78125
2000-03-14,36.21875,13.828125,27.90625,26.625,0.0,17.328125,18.032297611236572,17.328125,27.578125,0.0,17.6875,25.797872066497803,40.844974517822266,15.90625,17.734375,16.96875,19.421875,13.3626070022583,18.296875,5.2714844942092896,5.881630778312683,0.0,20.765625,26.015625,8.637279748916626,12.9609375,17.046875,12.637994050979614,8.625,17.328125
2000-03-15,36.4765625,13.859375,28.46875,28.0,0.0,17.484375,18.506484031677246,17.890625,28.3125,0.0,18.03125,26.26329803466797,41.989014625549316,15.515625,18.0625,17.0,19.3125,13.507489204406738,18.765625,5.410156488418579,6.065815448760986,0.0,21.375,27.3125,9.015661239624023,13.3515625,17.40625,12.9816255569458,8.8984375,18.0625
